YTR064;YTR063;YTR062;YTR061;YPR066;YPR064
21.297;21.04;21.027;21.053;0.126;0.036
21.406;21.046;21.027;21.066;0.144;0.049
21.496;21.091;21.066;21.104;0.2;0.051
21.618;21.13;21.117;21.149;0.257;0.072
21.702;21.162;21.136;21.169;0.275;0.077
21.772;21.22;21.201;21.239;0.311;0.105
21.862;21.246;21.22;21.265;0.321;0.108
22.016;21.278;21.258;21.291;0.38;0.12
22.145;21.335;21.31;21.335;0.424;0.133
22.229;21.374;21.348;21.374;0.485;0.149
22.248;21.4;21.4;21.425;0.503;0.167
22.299;21.432;21.413;21.445;0.521;0.174
22.357;21.445;21.432;21.464;0.537;0.182
22.389;21.49;21.471;21.496;0.557;0.198
22.415;21.541;21.535;21.567;0.578;0.205
22.428;21.593;21.58;21.605;0.58;0.223
22.563;21.618;21.593;21.625;0.642;0.239
22.717;21.657;21.605;21.637;0.64;0.262
21.496;21.715;21.74;21.747;3.022;0.46
21.438;21.817;21.785;21.779;2.143;0.367
21.458;21.747;21.721;21.753;2.099;0.303
21.458;21.708;21.708;21.721;2.235;0.295
21.451;21.689;21.676;21.695;2.153;0.285
21.458;21.67;21.65;21.676;2.192;0.27
21.451;21.689;21.657;21.689;2.194;0.272
21.458;21.682;21.67;21.695;2.199;0.275
21.471;21.67;21.65;21.67;2.205;0.27
21.483;21.682;21.65;21.682;2.544;0.267
21.65;22.717;22.704;22.55;2.287;2.086
21.631;22.717;22.678;22.704;2.259;2.092
21.631;22.64;22.627;22.383;2.297;2.068
21.618;22.62;22.569;22.434;2.274;2.04
21.618;22.505;22.447;22.389;2.287;2.007
21.58;22.415;22.344;22.325;2.253;1.953
21.567;22.19;22.164;22.1;2.3;1.93
21.548;22.081;22.029;21.997;2.256;1.894
21.528;21.946;21.927;21.933;2.261;1.837
21.522;21.894;21.856;21.882;2.23;1.683
21.522;21.837;21.805;21.843;2.23;1.513
21.541;21.824;21.805;21.875;2.374;1.446
21.663;22.293;22.267;22.306;2.246;1.38
21.657;22.19;22.177;22.184;2.256;1.354
21.605;22.139;22.126;22.139;2.297;1.349
21.541;22.016;22.036;22.023;2.323;1.339
21.541;21.927;21.907;21.965;2.261;1.313
21.548;22.004;22.01;22.036;2.3;1.285
21.548;22.107;22.094;22.113;2.328;1.259
21.554;22.068;22.016;22.036;2.243;1.22
21.554;21.843;21.824;21.856;2.274;1.146
21.548;21.837;21.817;21.856;2.202;1.112
21.554;21.824;21.805;21.85;2.21;0.93
21.56;21.811;21.805;21.837;2.202;0.902
21.56;21.837;21.817;21.85;2.199;0.843
21.56;21.85;21.824;21.862;2.274;0.83
21.573;21.843;21.817;21.856;2.197;0.822
21.58;21.824;21.811;21.837;2.241;0.801
21.605;21.862;21.843;21.888;2.284;0.781
21.612;21.862;21.843;21.875;2.277;0.781
21.625;21.875;21.856;21.888;2.194;0.776
21.65;21.894;21.875;21.914;2.246;0.763
21.663;21.894;21.875;21.901;2.202;0.76
21.708;21.959;21.939;21.965;2.205;0.73
21.715;21.959;21.946;21.965;2.292;0.724
21.708;21.972;21.959;21.965;2.256;0.727
21.715;21.959;21.952;21.965;2.218;0.732
21.715;21.952;21.946;21.965;2.194;0.724
21.734;21.972;21.965;21.972;2.225;0.73
21.74;21.991;21.978;21.984;2.218;0.722
21.747;21.984;21.972;21.984;2.246;0.724
21.747;21.965;21.952;21.972;2.202;0.717
21.76;21.959;21.946;21.965;2.192;0.712
21.779;21.972;21.965;21.991;2.212;0.709
21.785;21.978;21.965;21.991;2.189;0.709
21.785;21.997;21.978;22.004;2.228;0.676
21.837;22.049;22.036;22.049;2.241;0.655
21.875;22.068;22.061;22.074;2.199;0.658
21.888;22.074;22.055;22.068;2.223;0.652
21.959;22.119;22.113;22.126;2.218;0.655
21.997;22.184;22.164;22.184;2.215;0.66
22.004;22.203;22.171;22.209;2.215;0.663
22.865;22.434;22.408;22.46;2.212;0.665
23.147;22.588;22.563;22.601;2.23;0.668
23.43;22.678;22.653;22.665;2.212;0.673
23.636;22.73;22.723;22.736;2.248;0.691
23.764;22.82;22.788;22.82;2.218;0.712
23.848;22.91;22.871;22.91;2.259;0.748
23.828;22.987;22.955;22.974;2.238;0.801
23.764;23.07;23.051;23.051;2.256;0.835
23.61;23.122;23.077;23.128;2.292;0.871
23.443;23.173;23.154;23.167;2.22;0.904
23.301;23.205;23.173;23.186;2.261;0.915
23.128;23.224;23.199;23.212;2.269;0.93
22.877;23.224;23.192;23.212;2.248;0.94
22.704;23.16;23.122;23.122;2.228;0.935
22.685;23.077;23.064;23.044;2.264;0.933
22.678;23.019;22.987;22.999;2.207;0.93
22.717;22.948;22.942;22.948;2.261;0.922
22.922;22.916;22.89;22.922;2.212;0.884
23.122;22.929;22.903;22.916;2.289;0.863
23.334;22.974;22.948;22.961;2.215;0.837
23.783;22.987;22.967;22.987;2.235;0.822
